"est","psi","lower","upper","mc_id","n"
"ipcw-tmle",0.00323537817371379,-0.0492007108397897,0.0556714671872173,1,500
"ipcw-tmle-target-Pi-ver-2",0.0055610933340152,-0.086863040295286,0.0979852269633164,1,500
"raking",0.00155862996601853,-0.0337433046583858,0.0368605645904228,1,500
"ipcw-tmle",0.0219206362215515,-0.0392798569756819,0.0831211294187849,1,500
"ipcw-tmle-target-Pi-ver-2",0.0176614634339982,-0.0288924930371639,0.0642154199051602,1,500
"raking",0.0148524553758967,-0.0274453234313686,0.057150234183162,1,500
"ipcw-tmle",-0.0487152888870491,-0.0924265959170701,-0.00500398185702805,1,500
"ipcw-tmle-target-Pi-ver-2",-0.021765163295042,-0.0700284153424725,0.0264980887523885,1,500
"raking",-0.0221994744698245,-0.0693482309514752,0.0249492820118262,1,500
"ipcw-tmle",0.0177675069003016,-0.0540810055691555,0.0896160193697587,1,500
"ipcw-tmle-target-Pi-ver-2",0.000230287804460036,-0.0684227755405889,0.0688833511495089,1,500
"raking",-0.00194116051033965,-0.0352788271310923,0.031396506110413,1,500
"ipcw-tmle",0.0457142834904144,-0.0414402287158212,0.13286879569665,1,500
"ipcw-tmle-target-Pi-ver-2",0.0152453593006059,-0.0465054529089447,0.0769961715101566,1,500
"raking",-0.00742240770193847,-0.0410700094503668,0.0262251940464899,1,500
"ipcw-tmle",-0.0123233149472463,-0.0599326136429884,0.0352859837484959,1,500
"ipcw-tmle-target-Pi-ver-2",0.0134309109119833,-0.0271823809933768,0.0540442028173433,1,500
"raking",0.0161487904510341,-0.0239121525434205,0.0562097334454887,1,500
"ipcw-tmle",0.0443818194986334,-0.00542143381078702,0.0941850728080537,1,500
"ipcw-tmle-target-Pi-ver-2",0.036735516164786,-0.0114266858274502,0.0848977181570222,1,500
"raking",0.0346603669638741,-0.0054624308704446,0.0747831647981929,1,500
"ipcw-tmle",-0.0251606229750644,-0.0694514840436521,0.0191302380935233,1,500
"ipcw-tmle-target-Pi-ver-2",0.000920919822004915,-0.0581585146641739,0.0600003543081838,1,500
"raking",0.00462033253693337,-0.0284670329649079,0.0377076980387747,1,500
"ipcw-tmle",-0.0167493148500207,-0.0627601421814354,0.029261512481394,1,500
"ipcw-tmle-target-Pi-ver-2",-0.0141807296847926,-0.0601200370173509,0.0317585776477656,1,500
"raking",-0.0180858688131902,-0.0587144656816163,0.0225427280552359,1,500
"ipcw-tmle",0.0170046314089619,-0.0364866533023571,0.0704959161202809,1,500
"ipcw-tmle-target-Pi-ver-2",0.0131952617670571,-0.0285087815511223,0.0548993050852365,1,500
"raking",0.0117925145004686,-0.0322182363725276,0.0558032653734647,1,500
"ipcw-tmle",-0.00170021706990271,-0.0432565855076645,0.0398561513678591,1,500
"ipcw-tmle-target-Pi-ver-2",0.00510532748692375,-0.0270141585991524,0.0372248135729999,1,500
"raking",0.00481545756696531,-0.030578012220734,0.0402089273546646,1,500
"ipcw-tmle",-0.000529395516631198,-0.0610722507003973,0.060013459667135,1,500
"ipcw-tmle-target-Pi-ver-2",0.0143465502814071,-0.073187642484418,0.101880743047232,1,500
"raking",0.0168976685043453,-0.0320051794231424,0.065800516431833,1,500
"ipcw-tmle",0.0254456468945349,-0.0207193071786667,0.0716106009677366,1,500
